Município,2018,2019,2020,2021,2022
ALTA FLORESTA D'OESTE (RONDÔNIA),208,167,299,194,236
ALTO ALEGRE DOS PARECIS (RONDÔNIA),60,68,86,41,60
ALTO PARAÍSO (RONDÔNIA),325,314,240,183,209
ALVORADA D'OESTE (RONDÔNIA),15,12,19,6,9
ARIQUEMES (RONDÔNIA),193,213,170,100,126
BURITIS (RONDÔNIA),328,369,333,238,394
CABIXI (RONDÔNIA),9,29,21,28,24
CACAULÂNDIA (RONDÔNIA),78,44,43,67,69
CACOAL (RONDÔNIA),39,35,68,36,43
CAMPO NOVO DE RONDÔNIA (RONDÔNIA),111,96,85,110,153
CANDEIAS DO JAMARI (RONDÔNIA),822,866,730,1083,1390
CASTANHEIRAS (RONDÔNIA),12,18,11,8,3
CEREJEIRAS (RONDÔNIA),53,14,78,48,34
CHUPINGUAIA (RONDÔNIA),115,121,101,93,50
COLORADO DO OESTE (RONDÔNIA),5,2,4,2,4
CORUMBIARA (RONDÔNIA),55,47,71,48,34
COSTA MARQUES (RONDÔNIA),215,132,158,87,172
CUJUBIM (RONDÔNIA),588,896,741,764,885
ESPIGÃO D'OESTE (RONDÔNIA),49,38,95,42,43
GOVERNADOR JORGE TEIXEIRA (RONDÔNIA),48,52,73,113,224
GUAJARÁ-MIRIM (RONDÔNIA),177,266,333,309,336
ITAPUÃ DO OESTE (RONDÔNIA),111,95,122,107,117
JARU (RONDÔNIA),28,24,36,25,43
JI-PARANÁ (RONDÔNIA),71,66,82,56,68
MACHADINHO D'OESTE (RONDÔNIA),605,616,551,421,650
MINISTRO ANDREAZZA (RONDÔNIA),10,7,26,4,6
MIRANTE DA SERRA (RONDÔNIA),60,53,69,28,52
MONTE NEGRO (RONDÔNIA),160,108,106,50,98
NOVA BRASILÂNDIA D'OESTE (RONDÔNIA),16,12,27,22,30
NOVA MAMORÉ (RONDÔNIA),1274,1230,1028,972,1107
NOVA UNIÃO (RONDÔNIA),26,72,63,49,57
NOVO HORIZONTE DO OESTE (RONDÔNIA),2,3,6,0,2
OURO PRETO DO OESTE (RONDÔNIA),100,99,115,17,42
PARECIS (RONDÔNIA),33,33,23,20,57
PIMENTA BUENO (RONDÔNIA),103,226,198,155,138
PIMENTEIRAS DO OESTE (RONDÔNIA),106,85,255,105,187
PORTO VELHO (RONDÔNIA),3163,3585,3428,3535,4464
PRESIDENTE MÉDICI (RONDÔNIA),6,10,9,17,18
PRIMAVERA DE RONDÔNIA (RONDÔNIA),16,7,0,2,5
RIO CRESPO (RONDÔNIA),87,100,45,58,75
ROLIM DE MOURA (RONDÔNIA),9,6,12,27,7
SANTA LUZIA D'OESTE (RONDÔNIA),9,5,282,136,7
SÃO FELIPE DO OESTE,0,1,8,5,1
SÃO FRANCISCO DO GUAPORÉ (RONDÔNIA),204,177,5,1,210
SÃO MIGUEL DO GUAPORÉ (RONDÔNIA),160,113,156,217,123
SERINGUEIRAS (RONDÔNIA),101,197,278,161,110
TEIXEIRÓPOLIS (RONDÔNIA),2,10,3,5,5
THEOBROMA (RONDÔNIA),19,31,42,33,71
URUPÁ (RONDÔNIA),13,4,29,8,3
VALE DO ANARI (RONDÔNIA),76,96,68,48,76
VALE DO PARAÍSO (RONDÔNIA),32,37,21,5,12
VILHENA (RONDÔNIA),148,323,293,141,121